Question,Answer
Show me 2 BHK in Thrissur,Here are available 2 BHK properties in Thrissur.
Any houses in Kochi?,"Yes, here are houses available in Kochi."
Show apartments only,Here are available apartments.
Properties under 10000,"Here are properties under ₹10,000."
Show 3 BHK houses,These are available 3 BHK houses.
Budget house near Thrissur,Here are budget-friendly houses near Thrissur.
Rental homes in Ernakulam,Here are rental homes in Ernakulam.
Furnished apartments available?,"Yes, furnished apartments are available."
Newly added properties,Here are recently added properties.
Family house available?,"Yes, here are family-friendly houses."
Bachelor rooms available?,Here are rooms suitable for bachelors.
Show villa properties,These villas are currently available.
1 BHK under 8000,"Here are 1 BHK properties under ₹8,000."
Any property near town?,Here are properties near the town area.
Available properties this month,Here are properties available this month.
Show luxury apartments,Here are available luxury apartments.
Pet friendly houses?,These houses allow pets.
House with parking,Here are properties with parking facility.
Sea view property?,Here are available sea view properties.
Garden house available?,Here are houses with garden space.
Studio apartments?,These are available studio apartments.
Show independent houses,Here are independent houses.
Properties near school,Here are properties near schools.
Properties near hospital,Here are properties near hospitals.
Fully furnished house,Here are fully furnished houses.
What is the rent of Blue Haven?,"The rent of Blue Haven is ₹12,000 per month."
How much is the advance amount?,Advance amount depends on the property and owner policy.
Is rent negotiable?,Please contact the owner to discuss rent negotiation.
Monthly rent details?,Rent details are available on the property page.
Low cost property?,Here are affordable properties.
Premium properties?,Here are premium rental properties.
Price of 3 BHK in Thrissur,"3 BHK prices in Thrissur start from ₹15,000."
Cheapest apartment?,Here is the cheapest apartment currently available.
Properties above 15000,"Here are properties above ₹15,000."
What is included in rent?,Rent may include maintenance; check property details.
Electricity charges included?,Electricity charges are usually separate.
Water charges included?,Water charges depend on the owner policy.
Any discount available?,Please contact the owner for discount details.
Security deposit amount?,Security deposit varies by property.
Price range 8000 to 12000,"Here are properties between ₹8,000 and ₹12,000."
Cheap rooms for rent,Here are low-budget rooms available.
Cost of furnished 2 BHK?,"Furnished 2 BHK starts from ₹14,000."
Rent per year?,Rent is calculated monthly.
Advance refundable?,Refund depends on agreement terms.
Hidden charges?,All charges are mentioned in property details.
Is Blue Haven available?,"Yes, Blue Haven is currently available."
How to book property?,You can book through the booking section after login.
Schedule a visit?,You can schedule a visit from the property page.
When can I move in?,Move-in date depends on availability.
Cancel booking?,Please go to booking history to cancel.
Booked properties?,Here are currently booked properties.
Confirm booking?,Booking is confirmed after payment.
Book online?,"Yes, online booking is available."
Documents required?,ID proof and rental agreement required.
Visit timing?,Visit timing depends on owner availability.
Immediate move-in?,Here are properties available for immediate move-in.
Pay advance online?,You can pay advance using online payment.
Payment methods?,"We accept UPI, Debit Card, and Net Banking."
Booking charges?,Booking charges may apply.
Booking confirmation mail?,You will receive confirmation email.
Owner approval needed?,"Yes, owner approval may be required."
Minimum stay period?,Minimum stay depends on agreement.
Rental agreement process?,Rental agreement is created after booking.
Late payment penalty?,Late payment policy depends on agreement.
Check availability date?,Please select property to check availability date.
Extend rental period?,Contact owner for extension approval.
Change booking date?,You can request date change from booking page.
Refund policy?,Refund policy depends on agreement terms.
Short term rental?,Here are short-term rental options.
Long term rental?,Here are long-term rental options.
How to register?,Click register and fill your details.
Forgot password?,Use forgot password option to reset.
Login help?,Enter your username and password to login.
Update profile?,You can update profile from dashboard.
Change password?,Change password from account settings.
Contact admin?,Use contact form to reach admin.
Upload property?,Owners can upload property from dashboard.
Edit property?,Edit property option available in dashboard.
Delete property?,You can delete property from manage section.
Logout?,Click logout button to exit account.
My booking history?,Here is your booking history.
View saved properties?,Here are your saved properties.
Notification settings?,Manage notifications in account settings.
Report issue?,Use support section to report issues.
Help section?,Visit help section for guidance.
Owner registration?,Owners can register using owner signup.
User registration?,Users can register from homepage.
Reset account?,Contact admin to reset account.
Update contact details?,Edit contact details in profile.
Change email?,You can update email from profile settings.
Hello,Hello! How can I help you today?
Hi,Hi there! What property are you looking for?
Help me,"I can help you search properties, check rent, or book."
What can you do?,"I can assist with property search, rent, booking, and account help."
Show all properties,Here are all available properties.
Thanks,You're welcome!
Goodbye,Goodbye! Have a great day.
Who are you?,I am your property rental assistant chatbot.
asdjkh123,"Sorry, I didn’t understand. Please ask about properties or booking."
Are you human?,I am an AI chatbot designed to assist you.
